iter	Passed	Remaining
0	132	132336
1	134	66990
2	137	45535
3	139	34653
4	140	27974
5	142	23596
6	144	20482
7	146	18207
8	148	16393
9	151	14960
10	153	13812
11	156	12879
12	158	12064
13	159	11254
14	160	10566
15	162	9999
16	164	9513
17	166	9093
18	167	8653
19	168	8263
20	170	7940
21	172	7672
22	173	7385
23	175	7122
24	176	6883
25	178	6677
26	180	6493
27	181	6316
28	183	6147
29	184	5963
30	185	5809
31	187	5658
32	188	5516
33	189	5383
34	190	5260
35	191	5129
36	192	5015
37	193	4911
38	195	4815
39	196	4716
40	197	4621
41	198	4529
42	199	4441
43	200	4352
44	201	4272
45	202	4192
46	203	4119
47	204	4046
48	204	3978
49	205	3913
50	206	3849
51	207	3788
52	208	3730
53	209	3675
54	210	3621
55	211	3569
56	212	3517
57	213	3467
58	214	3416
59	214	3367
60	215	3320
61	216	3272
62	216	3226
63	217	3182
64	218	3140
65	218	3097
66	219	3056
67	220	3017
68	220	2979
69	221	2941
70	221	2904
71	222	2867
72	223	2834
73	224	2803
74	224	2770
75	225	2738
76	225	2707
77	226	2676
78	226	2645
79	227	2616
80	228	2588
81	228	2561
82	229	2531
83	229	2505
84	230	2479
85	230	2454
86	231	2429
87	232	2404
88	232	2381
89	233	2357
90	233	2334
91	234	2312
92	234	2290
93	235	2269
94	235	2247
95	236	2226
96	237	2206
97	237	2186
98	238	2168
99	238	2150
100	239	2132
101	240	2114
102	240	2097
103	241	2080
104	242	2064
105	242	2047
106	243	2030
107	243	2014
108	244	1998
109	245	1983
110	245	1967
111	246	1953
112	246	1937
113	247	1922
114	247	1908
115	248	1894
116	249	1879
117	249	1865
118	250	1851
119	250	1838
120	251	1825
121	251	1811
122	252	1799
123	253	1787
124	253	1776
125	254	1766
126	255	1754
127	255	1743
128	256	1731
129	257	1720
130	257	1708
131	258	1697
132	258	1686
133	259	1674
134	259	1664
135	260	1653
136	260	1643
137	261	1633
138	261	1622
139	262	1612
140	263	1602
141	263	1592
142	264	1582
143	264	1572
144	265	1563
145	265	1554
146	266	1545
147	266	1536
148	267	1528
149	268	1521
150	269	1514
151	269	1505
152	270	1497
153	271	1489
154	271	1481
155	272	1473
156	272	1465
157	273	1457
158	274	1450
159	274	1442
160	275	1434
161	275	1426
162	276	1419
163	277	1412
164	277	1405
165	278	1398
166	278	1391
167	279	1384
168	280	1377
169	280	1371
170	281	1364
171	282	1358
172	283	1353
173	284	1348
174	284	1343
175	285	1337
176	286	1331
177	287	1326
178	288	1321
179	288	1315
180	289	1310
181	290	1304
182	290	1298
183	291	1293
184	292	1287
185	292	1281
186	293	1276
187	294	1271
188	295	1265
189	295	1260
190	296	1255
191	297	1251
192	298	1247
193	299	1243
194	299	1238
195	300	1233
196	301	1228
197	302	1223
198	302	1218
199	303	1214
200	304	1209
201	304	1204
202	305	1199
203	306	1195
204	306	1190
205	307	1185
206	308	1181
207	309	1177
208	309	1172
209	310	1167
210	311	1163
211	311	1158
212	312	1154
213	313	1151
214	314	1147
215	314	1143
216	315	1138
217	316	1134
218	316	1130
219	317	1126
220	318	1122
221	319	1117
222	319	1113
223	320	1109
224	320	1105
225	321	1101
226	322	1097
227	323	1093
228	323	1090
229	324	1086
230	325	1083
231	326	1079
232	327	1076
233	328	1073
234	329	1071
235	329	1067
236	330	1064
237	331	1060
238	332	1057
239	332	1053
240	333	1050
241	334	1046
242	334	1042
243	335	1039
244	336	1035
245	336	1032
246	337	1028
247	338	1024
